Calculus Topic,Dynamics Topic,Rationale,,
Derivatives as functions,General notions,"The derivation of a mathematical model starts with a small change in position, velocity or mass which has taken place in a short time, contrained by  a physical principle (e.g a conservation law), which must be satisfied. The limiting form of the principle is then formulated as a relationship between derivatives. The ability to calculate a derivative from its definition as a limit is crucial.",,
Graphical and numerical limits,General notions,"Basic limits of trigfunctions (e.g. sin theta approx theta) are ubiquitous, as is  the use of vectors, tangents, and normals.",,
Graphical and numerical limits,General notions,Graphical reasoning (e.g. free body diagrams) dominates the translation of physical models into equations.,,
Parametric equations,Particle motion,"This is the calculus of moving particles parametrized by time in two and three dimensions. By treating special cases and doing the calculus componentwise, one can avoid the vector calculus of line integrals and gradients.",,
Polar coordinates,Particle motion,"Motion under central forces requires computing velocity and accelaration in polar, cylindrical, and spherical coordinates.",,
Implicit differentiation,Particle motion,"Implicit differentiation is used to calculate the relationship between derivatives in cartesian coordinates and those in polar coordinates. Students routinely use these formulas, but are not asked to derive them.",,
Basic differentiation rules,Particle motion,Calcluating velocity and acceleration from a formula for the path of a particle requires basic differentiation formulas.,,
Definite integrals,Particle motion, Calculating velocity and displacement based on forces that determine particle acceleration requires computing definite integrals.,,
Trigonometric derivatives,Particle motion, Analysis of periodic motion requires the use of  trigonometric functions and their derivatives.,,
Conic sections,Particle motion, The paths of a objects accelerated  by central forces are conic sections. Descriptions of planetary motion require the use of  polar coordinate and motivate descriptions of ellipses using eccentricity.,,
Definite integrals,Kinetics and Newton’s second law,Newton's second law translates forces into acceleration. That acceleration must be integrated to  find velocity and integrated again to find displacement.,,
The fundamental theorem of calculus,Kinetics and Newton’s second law,"The fundamental theorem of calculus provides the link between derivatives an integrals, thereby the link between acceleration and  velocity, and then displacements.",,
Indefinite integrals and the net change theorem,Kinetics and Newton’s second law,"This is another formulation of the fundamental theorem of calculus, which also serves as a link between acceleration and  velocity, and then displacements.",,
Polar coordinates,Kinetics and Newton’s second law," Describing the motion of objects accelerated by central forces requires expressing acceleration,velocity, and displacement in polar, cylindrical, and spherical coordinates, as well as well as calcualating the derivatives and integras that relate them..",,
Definite integrals,Work-energy principle,Work is the integral of force with respect to  displacement (distance).,,
Indefinite integrals and the net change theorem,Work-energy principle,Work is the net change in Energy caused by the action (integral) of force over distance.,,
The fundamental theorem of calculus,Work-energy principle,"Force is the derivative of (minus) the potential energy with respect to displacement, so the change in the  potential energy is the integral of the force, which is an expression of the fundamental theorem of calculus.",,
Indefinite integrals and the net change theorem,"Potentials, conservativation of energy, and momentum","Impulse is the  change in momentum with respect to time, which equals the integral of force with respect to time, yet another expression of the net change theorem.",,
Integration by substitution,"Potentials, conservativation of energy, and momentum", Calculating work requires integrating force with respect to displacement. The change of variables dx = vdt relates the work integral to the impulse integral.,,
Trigonometric derivatives,Dynamics of Rigid Bodies and Angular Momentum, Evaluating cross products to calculate angular momentum (componentwise to keep calculations simple) requires the calculus of trigonometric functions,,
Definite integrals,Mass distribution and inertia,Calculating the center of mass and moment of inertia of an object requires evaluating multidimensional integrals. In important special cases (e.g disks rings bars) these integrals become ond dimensional area type integrals.,,
Indefinite integrals and the net change theorem,Mass distribution and inertia,"The multidimensional integrals required to compute the center of mass and moment of inertia for disks and rings often reduce to one dimensional integrals in polar coordinates""",,
Trigonometric derivatives,Dynamics of Rigid Bodies and Angular Momentum,Calculating the linear and angular velocities and accelerations of rolling wheels and pulleys requires the calculus of trigonometric functions.,,
Polar coordinates,Dynamics of Rigid Bodies and Angular Momentum, Relating linear and angular velocity and acceleration requires calculus in polar coordinates.,,
Related rates,Dynamics of Rigid Bodies and Angular Momentum,Pulleys pull cables attached to masses. Rolling wheels have related angular and linear velocity (of the center or the point of contact). The relation between these rates of change is a related rates problem.,,
Optimization,Lagrangian dynamics,"Lagrangian dynamics that is based on the calculus of variations. It calculates the  particle dynamics (e.g the path of an object) as a stationary point of the Lagrangian  Action integral. Although it takes place in a much more sophisticated regime, the methods for finding that stationary point are esseentially the same as those in one dimensional optimaization problems.",,
Definite integrals,Lagrangian dynamics, The  Lagrangian Action is the definte integral of the Lagrangian function.,,
Introduction to derivatives,Lagrangian dynamics," Finding the equations of motion requires calclulating the derivative of the action integral. Although this derivative is part of the more advanced  calculus of variations, it follows exactly the same line of reasoning as in the defintion of the derivative of a funtion of a single variable.",,
Integration by parts,Lagrangian dynamics, Integration by parts in the derivative of the action integral that characterizes the stationary points  results in a  differential equation known as the Equations of Motion. ,,
Introduction to differential equations,Lagrangian dynamics," The Equations of Motion differential equation is, in many cases, an ordinary differential equation.",,
Limits at infinity and infinite limits,Vibrations, Separating forced vibrations into transient and steady state solutions requires calulating the limiting behavior of a function as time approaches infinity.,,
Limit laws,Vibrations, Deriving formulas for resonant vibrations requires calculating limits of functions as the frequency approaches a resonant frequency.,,
L'Hôpital's rule,Vibrations, L'Hopital's rule provides the most efficient (if not always the most transparent)  way to evaluate the limits that describe resonant vibrations.,,
Special first-order linear differential equations,Vibrations, Vibrations of a single mass or particle are periodic motions modelled by linear ordinary differential equations.,,
Trigonometric derivatives,Vibrations,Vibrations are typically described by  trigonometric functions (as functions of time rather than angle).,,
Physical applications of integrals,Vibrations, A substantial amount of physical modelling and approximation is required to formulate the differential equations  that describe vibrations.,,