Calculus topic,Fluids Topic,Rationale,,,,
Introduction to calculus and limits,Fluid properties and definitions,A fluid particle is the infinitesmal limit of small cube of fluid. Properties (e.g. density pressure internal energy) are all limits of ratios in the limt.,,,,
The limit concept,Fluid properties and definitions,A fluid particle is the infinitesmal limit of small cube of fluid. Properties (e.g. density pressure internal energy) are all limits of ratios in the limt.,,,,
Introduction to derivatives,Fluid properties and definitions,The coefficient of compressibility and volume expansivity are fudamental quantities defined as derivtives using limits.,,,,
Linear approximations,Fluid properties and definitions, The coefficient of compressibility and volume expansivity are fudamental quantities defined as derivtives using limits.,,,,
Graphing with derivatives,Fluid properties and definitions,Surface tension forces depend on the contact angle  between the tangents to the liquid and solid surfaces.,,,,
Introduction to derivatives,Newtonian fluids,"Newtonian fluids are those that exhibit a linear relationship between  shear stress, viscosity, and shear rate, which is the spatial  derivative of shear.",,,,
Definite integrals,Newtonian fluids,The force a fluid exerts on a surface is the integral of the pressure over the surface.,,,,
Graphing with derivatives,Newtonian fluids,Computing the resultant forces on submerged (flat or curved) plates due to pressure forces requires calculating normals to the surfaces.,,,,
Physical applications of integrals,Newtonian fluids,"Modelling problems in calculus courses treat these sorts of problems, including the subtelty that the shape of the contianer does not matter for the pressure calculation (except for very small diameter tubes, where surface tension and the capillary effect become important).""",,,,
Area and arc length in polar coordinates,Viscous effects," A viscous fluid has zero velocity where it touches a physical boundary. In a cylindrical pipe or radius R, the fluid velocity at radius r is modeled as a constant times (R^2-r^2).The viscous forces acting on a (control volume within a) pipe are estimated as the crosss ectional area times the pressure difference at the ends.",,,,
The fundamental theorem of calculus,Fluid statics/hydrostatics,The fundamental theorem of calculus and Newtons second law are applied to a static fluid to calculate pressure as a function of depth (P = rho*g*z). Combining this with the fact that force on a surface is the integral of the pressure over the surface yields the basis for using  barometers and manometers.,,,,
Trigonometric derivatives,Fluid kinematics,Computing gage pressure in an accelerated fluid utilizes modelling and trig/inverse trig relations in related rate problems.,,,,
Related rates,Fluid kinematics,Computing gage pressure in an accelerated fluid utilizes  modelling and trig/inverse trig relations in related rate problems.,,,,
The chain rule,Fluid kinematics,"The material derivative, which relates the eulerian and lagrangian descriptions of fluid flow, is calculated using  the  chain rule for partial derivatives.",,,,
The chain rule,Fluid kinematics,"Streamlines are  curves tangent to the velcity field. In 2D, we compute them by solving an ODE which is separable in many examples. The chain rule converts the time derivatives of the flow field to the spatial derivatives in the ODE.",,,,
Introduction to differential equations,Fluid kinematics,"Streamlines are  curves tangent to the velcity field. In 2D, we compute them by solving an ODE which is separable in many examples. The chain rule converts the time derivatives of the flow field to the spatial derivatives in the ODE.",,,,
Separable differential equations,Fluid kinematics,"Streamlines are  curves tangent to the velcity field. In 2D, we compute them by solving an ODE which is separable in many examples. The chain rule converts the time derivatives of the flow field to the spatial derivatives in the ODE.",,,,
Modeling with differential equations,Fluid kinematics,"Streamlines are  curves tangent to the velcity field. In 2D, we compute them by solving an ODE which is separable in many examples. The chain rule converts the time derivatives of the flow field to the spatial derivatives in the ODE.",,,,
Modeling with differential equations,Fluid kinematics," A pathline, the path of fluid particle, solves a system of ODE's: dx/dt= u(x,y); dy/dt =v(x,y).",,,,
Rates of change and exponential models,Fluid kinematics,The rate of translation is a time derivative of of the path of the particle.,,,,
Rates of change and exponential models,Fluid kinematics,The rate of rotation of a fluid particle is the angular velocity vector.,,,,
Rates of change and exponential models,Fluid kinematics,"Vorticity, the  curl of velocity field, is computed in cartesian and cylindrical coordinates for simple flow fields.",,,,
Polar coordinates,Fluid kinematics,"Vorticity, the  curl of velocity field, is computed in cartesian and cylindrical coordinates for simple flow fields.",,,,
Introduction to derivatives,Fluid kinematics,"The linear Strain Rate, the shear strain rate, and the volumetric strain rate  are all defined, using limiting arguments, as derivatives of functions of displacement.",,,,
Polar coordinates,Differential analysis,"Differential analysis means deriving and using the partial differential equations of Computational Fluid Dynamics, i.e the continuity equation (conservation of mass)  and the Navier Stokes system (conservation of momentum). Special geometries allow some examples that do not require advanced vector calculus or partial diffential equations, relying on only 1D calculus and frequently, cylindrical coordinates.",,,,
Integration by parts,Differential analysis,"Analyzing mass conservation in a shrinking control volume, and making use of the divergence theorem derives the continuity equation relating the time rate of change of density to the divergence of the flow field. The continuity equation, paired with the navier stokes equations, are the basis for Computational Fluid Dyanmics. Choosing the control volume to be a shrinking cube allows the derivation to utilize the fundamental theorem of calculus and integration by parts rather than the more advanced divergence theorem.",,,,
Graphical and numerical limits,Differential analysis,"Analyzing mass conservation in a shrinking control volume, and making use of the divergence theorem derives the continuity equation relating the time rate of change of density to the divergence of the flow field. The continuity equation, paired with the navier stokes equations, are the basis for Computational Fluid Dyanmics. Choosing the control volume to be a shrinking cube allows the derivation to utilize the fundamental theorem of calculus and integration by parts rather than the more advanced divergence theorem.",,,,
Introduction to derivatives,Navier-Stokes equations,"These are the central equations of Computational Fluid Dyanmics, derived from conservation of momentum in a shrinking control volume.",,,,
Integration by parts,Navier-Stokes equations,"These are the central equations of Computational Fluid Dyanmics, derived from conservation of momentum in a shrinking control volume. Choosing the control volume to be a shrinking cube allows the derivation to utilize the fundamental theorem of calculus and integration by parts rather than the more advanced divergence theorem.",,,,
Area and arc length in polar coordinates,Navier-Stokes equations,"These are the central equations of Computational Fluid Dyanmics, derived from conservation of momentum in a shrinking control volume. Choosing the control volume to be a shrinking cube allows the derivation to utilize the fundamental theorem of calculus and integration by parts rather than the more advanced divergence theorem. Based on geometry, they may need to be written in cartesian or cylindrical coordinates,",,,,
Graphing with derivatives,Inviscid flow,The stream function is used to describe two dimensional incompressible inviscid flow. It's partial derivatives are perpendicular to the flow velocity field.,,,,
Antiderivatives,Inviscid flow,The stream function is used to describe two dimensional incompressible inviscid flow. It's partial derivatives are perpendicular to the flow velocity field. Finding the stream function involves integrating partial derivatives. In some rectangular and cylindrical geometries only 1D methods of integration are required.,,,,
Introduction to derivatives,Control volume analysis,"A control volume is a region, with physical or imagined boundaries, through which fluid flows (e.g. the bottom half of a cylindrical tank with a hole at the bottom (outlet)). Applying conservation laws to shrinking control volumes yields results about the properties of the flow.",,,,
Definite integrals,Control volume analysis,"A control volume is a region, with physical or imagined boundaries, through which fluid flows (e.g. the bottom half of a cylindrical tank with a hole at the bottom (outlet)). Applying conservation laws to shrinking control volumes yields results about the properties of the flow. The application of these laws involve derivatives and flux integrals (typically over simple inlet and outlet regions in undergraduate courses).",,,,
Area and arc length in polar coordinates,Control volume analysis,"A control volume is a region, with physical or imagined boundaries, through which fluid flows (e.g. the bottom half of a cylindrical tank with a hole at the bottom (outlet)). Applying conservation laws to shrinking control volumes yields results about the properties of the flow. The application of these laws involve derivatives and flux integrals (typically over simple inlet and outlet regions in undergraduate courses).",,,,
Physical applications of integrals,Conservation of Mass,"The Reynolds Transport Theorem, which links Lagrangian system descriptions to Eulerian control volume analyses by relating the time rate of change of an extensive property (e.g mass, momentum, energy) to the net flux across control surfaces and changes within a control volume. These will become the conservation laws that are the workhorses of engineering fluid dynamics calculations.",,,,
Polar coordinates,Conservation of Mass,"They are frequently applied in special geometries that require only  one dimensional integrals and derivatives, many  in polar coordinates.",,,,
Introduction to derivatives,Conservation of Mass, Mass flow rate and volume flow rate are time derivatives of the total mass/volume in a control volume (a control volume is a fixed or moving region within the flow).,,,,
Introduction to integrals and area approximation,Conservation of Mass," Mass flow rate and volume flow rate are time derivatives of the total mass/volume in a control volume (a control volume is a fixed or moving region within the flow). The total mass is the integral of a density over a volume or, in two dimension an area.",,,,
Introduction to integrals and area approximation,Conservation of Mass,Surface integrals are approximated  by averaging flows over inlets and outlets. These approximations are  Riemann sums with one term.,,,,
Physical applications of integrals,Conservation of Mass,"The viscous velocity profile for a circular inlet or outlet from  a control volume is typicaly circular, with a simple dependence on the radius, e.g. (R^2-r^2),. This  results in a simple integral in polar coordinates to calculate flux.",,,,
Definite integrals,Conservation of Momentum,"Conservation of momentum is a vector conservation law expressing the (material) time derivative of total linear momentum in the control volume as the time derivative of a volume integral plus  surfaces integrals of fluxes. For control volumes with simple inlets and outlets these surface integrals reduce to simple one dimensional integrals,frequently in polar coordinates, that are treated in calculus.",,,,
Area and arc length in polar coordinates,Conservation of Momentum,"Conservation of momentum is a vector conservation law expressing the (material) time derivative of total linear momentum in the control volume as the time derivative of a volume integral plus  surfaces integrals of fluxes. For control volumes with simple inlets and outlets these surface integrals reduce to simple one dimensional integrals,frequently in polar coordinates, that are treated in calculus.",,,,
Area and arc length in polar coordinates,Conservation of Momentum,"Conservation of angular momentum is expressed in terms of integrals of moment arms over simple inlets and outlets, requiring slightly more complicted integrals than those in the linear momentum equation, also in polar coordinates.",,,,
Physical applications of integrals,Bernoulli’s equation,"Bernoulli's equation is the head form of conservation of energy, which states that pressure plus a kinetic energy term plus a loss term (head loss) is constant along streamlines.The equation is written so that the terms have units of length, so that they are easily related to piezometer measurements of pressure taps. In  most undergraduate treatments, this is a form of the conservtion law whose underpinnings are in calculus, but will be used to reduce many problems to just modelling and algebra.",,,,
Physical applications of integrals,Bernoulli’s equation,"Bernoulli's equation is the head form of conservation of energy, which states that pressure plus a kinetic energy term plus a loss term (head loss) is constant along streamlines.The equation is written so that the terms have units of length, so that they are easily related to piezometer measurements of pressure taps. In  most undergraduate treatments, this is a form of the conservtion law whose underpinnings are in calculus, but will be used to reduce many problems to just modelling and algebra. Applications of Bernouilli's equation appear in many application problems in calculus.",,,,
Area and arc length in polar coordinates,Internal flow -  pipe flow," Application of Bernoulli's conservation law shows pipes with gradually expanding diameters (diffusers) increase pressure and reduce velocity, preventing turbulence. The calculus is in the derivation. The application is modelling and algebra.",,,,
Physical applications of integrals,Internal flow -  pipe flow,"For pipes networks, including pipes in series or in parallel, the Bernoulli equations for each section can be combined, just as is done with the equations describing voltage and current in electrical networks, with pressure being the analog of voltage and energy or mass flux the analog of current. The application is modelling and algebra, but based on conservation of energy.",,,,
Area and arc length in polar coordinates,External flow - Lift and drag, The aerodynamic drag on an object depends on the apparent surface area as seen from the flow (as well as other propertie of the object). This often requires an area integral in polar coordinates.,,,,
Newton's method,External flow - Lift and drag,"Terminal velocity is a function of drag coeficent, while drag coefficient is a function of reynolds number, which is in turn a function of terminal velocity. Calculating the terminal velocity (a,k.a. settling speed) of a sphere requires solving a system of three nonlinear equations via an iterative root finding method. The suggested method is Regula Falsa. The iterative nature is similar to that encountered in the study of Newton's method.",,,,
Newton's method,External flow - Lift and drag,Computinng the relationship between mach number and cross sectional area requires itertive root finding methods like Newton's method.,,,,
Improper integrals,External flow - Boundary layers,"A viscous fluid has zero velocity where it touches a physical boundary, but often behaves like a non-viscous fluid at an appropriate distance from the boundary. The region near the coundary is the boundary layer, and different approximations are used inside and outside that layer. The imaginary increase in wall thickness due to the boundary layer is estimated by an improper integral involving the velocity in the direction parallel to the boundary.",,,,
Introduction to derivatives,Compressible flows,"The coefficient of compressibility is the logarithmic derivative of volume with respect to pressure at constant temperature, developped as a limiting quantity.",,,,
Integration by parts,Computational fluid dynamics,"Computational fluid dynamics uses numerical analysis, algorithms, and computer simulation to predict the behavior of liquids and gases. The centerpieces of the model are the continuity( conservaton of mass) and Navier Stokes (conservation o f momenutm equations. These are complicated systems of partial differential equations and boundary conditons that usually do not allow explicit solutions. Their derivation requires the divergnece theorem, which can reduce to one dimensional integration by parts under simplifying assumptions.",,,,